event_type,tokens,block_datetime,block_timestamp,indexer,delegator,tx_hash
delegation,5000000000000000000000,2026-03-12T02:51:42+00:00,1773283902,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0xe6f1ee0fc72be2d246b8f02811799c239c125bac,0xb3372dfb4b4b4d5ceec39ece9746e2f31410c43e4b49a24961a2181a358c5bb8
delegation,126532660638280000000000,2026-03-12T02:02:52+00:00,1773280972,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x7587dc4f599e40b89cdc31fb13373e5d62cb85c6,0xc2366985f5bd6dcf8ac2e7c678d489418d0f95097f3625d6d20f8e25c39d1915
delegation,5045800418380000000000,2026-03-12T02:02:51+00:00,1773280971,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x6e766ce93f34fa2dee46e07afa9e77605cb095f4,0x74aab051419a00509e731bf24a791fe3a006ad0f7b4406c99efa877be00733da
delegation,60369251580340000000000,2026-03-12T02:02:36+00:00,1773280956,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x15f72b52cd79928b66fe9887acd20057203a97b1,0x04b12035e354b8b5b4dac08dd3797faafaaad54bdd3576daa0f2ac01defbaafe
undelegation,1246054879206184055,2026-03-12T01:50:15+00:00,1773280215,0x345c9a221e4caa15f78fb8078c441745de48a225,0x08a60c1173b00f3e00b95b8d146c1acd0b06b6d6,0x3e42438bac83ec48e31c2946abe984ea45c348e562821767ceea578528c25e23
delegation,72170907421823100000000,2026-03-12T00:14:01+00:00,1773274441,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x313ce0ef4337526c5af5157c75413cccaf684a60,0xa4d8aa1438fa0b9056bfbee6ce8da8da0c0a5fd0765bfcb8182acb59b451e841
delegation,4336000000000000000000,2026-03-11T20:22:45+00:00,1773260565,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x2dc1056c52c5f7d5e2455c78fe7a5b2e2fbc5613,0x37a3aeca044cbc0b96f56af00ae78e3687fa6ab04431967a2091e7cab6108526
delegation,22395644006586992575264,2026-03-11T20:13:46+00:00,1773260026,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x3969b9ed9165499a9dbcd7c655d8e4cbe90b7281,0x6d6b1fadb62563b6fdb23332c479d6de62031e2a99a0427d97273cdb52dc5e9f
delegation,9973027842277793898340,2026-03-11T19:33:19+00:00,1773257599,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x29719635e1c7a728355b02c2152ddba96a96106a,0xe3ee63e76f567f07f9396a74dce110515cf7281a85f9ba247570fa9272fc1c2d
delegation,202826185007008446001254,2026-03-11T19:03:48+00:00,1773255828,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x973182c99dc67767791d16a49e25efe37b712890,0x315a6cf35c75fd7bb0fbc489cde3e6b6753984862e55158e6617a7b5199fd04b
delegation,100000000000000000000000,2026-03-11T17:12:42+00:00,1773249162,0x0874e792462406dc12ee96b75e52a3bdbba3a123,0x1185f7cbb06060ceeab2a70c777d0afe5ebd3850,0x14d46df70cd7a4a8732d5564b8317ca2c5abb1cf806516e3ae65ffb729e474f4
delegation,100000000000000000000000,2026-03-11T17:11:01+00:00,1773249061,0x3b9ba748691f135b71582dc3292e5e3ed7e13341,0x1185f7cbb06060ceeab2a70c777d0afe5ebd3850,0xfe8b5b6ee2241b474c828a026cf49f516eedf954e854ee644578a4e5e614346c
delegation,150000000000000000000000,2026-03-11T17:09:38+00:00,1773248978,0x8cc22436ba6f07a4d5dd2043e3109267eee5aab8,0x1185f7cbb06060ceeab2a70c777d0afe5ebd3850,0x6bcbd90ca036602e6a53ade6496d9b207f6b262bf4a11047a3a1aa7a1fa3df80
undelegation,15075539125185169248,2026-03-11T16:32:13+00:00,1773246733,0x4e5c87772c29381bcabc58c3f182b6633b5a274a,0x95420c8f22c95e94f0c443d4c075b819644014b0,0x10b71c94e37428c35e4af64195a347fda728435b5de857c0aef43f7cac2e5235
undelegation,2276000000000000000708,2026-03-11T10:51:50+00:00,1773226310,0x089f78d8cf0a5ae1b7a581b1910a73f8cb3e4774,0xb054675add7062e2a708ba7c211fb0ec1f56b8fa,0xada866e91ff333a7f1682c4087966c5a701586104c95feb5f5a1984f5df5ddfd
undelegation,1012766464863280642906,2026-03-11T08:50:42+00:00,1773219042,0xedca8740873152ff30a2696add66d1ab41882beb,0x9b6fa2a3373422c1c6eebe9329069e357b196061,0x3770e22ef46eb5e41372da0588a86bde09bd5c3ca57e212ef8ca887e19bd20ec
undelegation,979021040306254716827,2026-03-11T08:50:29+00:00,1773219029,0xfc842f81490dcb37e82d416b2d28327dfb24ba9a,0x9b6fa2a3373422c1c6eebe9329069e357b196061,0x063ef16efe9e8394ed1539048832ab1c45a3be1f89cc16955c9ae6b58d3e5ebc
delegation,2491493816976542859942,2026-03-11T02:08:57+00:00,1773194937,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0xe3852d5d8dd296961ee27001d12291fb23a4f745,0x87d01e99260441972ade63194616c53c67ae5b08d10ee55c6facc312325a3e26
delegation,24065000167353512927556,2026-03-11T02:03:05+00:00,1773194585,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x15f72b52cd79928b66fe9887acd20057203a97b1,0xaa88eb7f5b858c589cc77f0711514f7137549176c5fea365346e59262f61371c
delegation,104446686357620000000000,2026-03-11T02:02:50+00:00,1773194570,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x7587dc4f599e40b89cdc31fb13373e5d62cb85c6,0xa807fcc3360e10a28ea9834c3701b9380fe4cb3004b5bd1aec8bfabd4d0f1e45
delegation,54966676113670000000000,2026-03-11T02:02:20+00:00,1773194540,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x6e766ce93f34fa2dee46e07afa9e77605cb095f4,0x9d414124c82e60eb9854b6b40631fc4c7ec5a696caf7c938ce656ccce1d7f19e
undelegation,16000000000000000010991,2026-03-11T01:27:27+00:00,1773192447,0x326c584e0f0eab1f1f83c93cc6ae1acc0feba0bc,0xc16f7078f2472c650850531800bd6fa1ac565358,0x7d7cae1349d282e1e501d7c76bec9917be13f012bb55aaf942eb69b420458af9
delegation,749306000000000000000,2026-03-10T23:56:50+00:00,1773187010,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0xcc2cd66fb97a04b7e7822b999dd3ebe5f469e5ec,0x7c10b7cebb2c7f4caa8d08376ba7e572cdbbcd55ceffbce0362c3bdc6d36d9b1
undelegation,13897285954176310723063,2026-03-10T19:51:51+00:00,1773172311,0xfeff9093f6b32d0e5cddba743b06a1fedb87c004,0xda2f80295cf2252c58c8a4b9584931e911aaa04e,0x9943f8f95066d36c6a80cb8fbfd3359835597de6fcb1b89ab60fb1b68d39b114
undelegation,48247336771121679327251,2026-03-10T19:51:29+00:00,1773172289,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0xda2f80295cf2252c58c8a4b9584931e911aaa04e,0x0d089ef6066c0bfff840077d324aadf91fb115fbf9b7a9c285b7deba0c28860d
delegation,1000000000000000000,2026-03-10T19:31:49+00:00,1773171109,0x2121bc6437100fc21d19a9eea30898419e020afa,0x4528fd7868c91ef64b9907450ee8d82dc639612c,0x41c66493eb6db702cbf9eabcb4440dc889c112447606ff52e33ebd84a47c5eaf
delegation,1000000000000000000,2026-03-10T19:31:49+00:00,1773171109,0xdc7daef4d0751a9f6ec28b06d6d9475b13eb0918,0x4528fd7868c91ef64b9907450ee8d82dc639612c,0x41c66493eb6db702cbf9eabcb4440dc889c112447606ff52e33ebd84a47c5eaf
delegation,1000000000000000000,2026-03-10T19:31:49+00:00,1773171109,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,0x4528fd7868c91ef64b9907450ee8d82dc639612c,0x41c66493eb6db702cbf9eabcb4440dc889c112447606ff52e33ebd84a47c5eaf
delegation,2896535396214900000000,2026-03-10T19:27:13+00:00,1773170833,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x8162a836748161452e72dcc57c70c1e03984ea80,0x3b26069f8c585cd9e98d31d95207b126bda6b989d260725dee8f21e2850ffc54
delegation,35000000000000000000000,2026-03-10T19:16:36+00:00,1773170196,0xe13840a2e92e0cb17a246609b432d0fa2e418774,0xcb607fcec55d9f571ea0782332c0c167653e6e46,0xf0bdd28bcff42c1ed38b4f752618fc052552fb62412107a57f0deac8f016230e
delegation,30000000000000000000000,2026-03-10T19:07:56+00:00,1773169676,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0xcb607fcec55d9f571ea0782332c0c167653e6e46,0x57b7a3d2f5ac023d845a089c5d01de06d2fa907e0f8b08d651b33a38b8a18bdb
undelegation,22868997015144516240,2026-03-10T18:03:49+00:00,1773165829,0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf,0x4dc77a90c92ec7186debb4f0b5b4a26cb433e209,0x800408f3d505a545cb3175a4481f1781d16cd8d79c33ef2ee066abee5f2274b2
undelegation,10455150185695016712712,2026-03-10T18:03:25+00:00,1773165805,0x3717cef8020bddee7a18f4efb2bfa88fefdcb1bc,0x4dc77a90c92ec7186debb4f0b5b4a26cb433e209,0x290f14cf1663d46c2612621f316b9d17a5c020a669aa1cbcdf18fd355550f93c
undelegation,10109374577155748923006,2026-03-10T18:03:02+00:00,1773165782,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce,0x4dc77a90c92ec7186debb4f0b5b4a26cb433e209,0x20d298d053eddc92f3b99a0a8d6dced66191a4aaff0702918348192fd999a38c
undelegation,8000000000000000001884,2026-03-10T18:01:56+00:00,1773165716,0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf,0x4dc77a90c92ec7186debb4f0b5b4a26cb433e209,0xc5ed7869c2b7c23860851869757aa4c057ee975e8411416de1429e27fd56f12c
delegation,2597726132040600000000,2026-03-10T15:58:26+00:00,1773158306,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x8162a836748161452e72dcc57c70c1e03984ea80,0xcf35e5e9c134524655b39c632fa1974c751a1152b4218c775dbbb5f8fa839408
delegation,100000000000000000000000,2026-03-10T15:12:11+00:00,1773155531,0x326c584e0f0eab1f1f83c93cc6ae1acc0feba0bc,0x3a3526a7b467da9f0f4780a7691876550871bb3c,0x4b853c609f83bdd160a6d5c38cb05f7360a53a9f7c6adeca80e71cca9f3fbfc2
undelegation,10183799384393830896708,2026-03-10T13:09:59+00:00,1773148199,0xfeff9093f6b32d0e5cddba743b06a1fedb87c004,0x339811d749e8ec4460c17dfb0e7ce9714f4ac100,0x9397fd978c94bfb3804b8bff9cba61e77e9e48c3966a6c44c1bfcf99b7132970
delegation,4110643689420000000000,2026-03-10T12:40:22+00:00,1773146422,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x90798e71c2bf3b12d5e28f555245917d91d9f2d0,0x6c5f235189b8a672fc862f6bdc5314c156a5fd08fd5836bfa7a069271609c0f0
delegation,7102236033269263561508,2026-03-10T11:13:23+00:00,1773141203,0xfc842f81490dcb37e82d416b2d28327dfb24ba9a,0x17a078fc52d9079fdc10794149b20eb6222ed642,0xda6424483053480ab62537dcfd1cdcb0fd5c6d2e12e558911eb2c75eafe0d157
delegation,15000000000000000000000,2026-03-10T11:01:21+00:00,1773140481,0xe13840a2e92e0cb17a246609b432d0fa2e418774,0x17a078fc52d9079fdc10794149b20eb6222ed642,0xce0b6ca7b46a6eb0a5f0832cf797c19437dd2f43ec5954d947e2e4e7d01f8a49
undelegation,23620563261708868590021,2026-03-10T10:23:01+00:00,1773138181,0xf92f430dd8567b0d466358c79594ab58d919a6d4,0x9bd0006c5d1de012391fe25cdee6dd16cd4c529f,0x7dd055d8540d867078ba983aa316b760fb858da19d8495f60dcb2b713a1aa5d4
